parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work,False,.git,68892
C:\Users\ÿ\Desktop\python_home_work,False,.idea,15119
C:\Users\ÿ\Desktop\python_home_work,False,home_works3,6937
C:\Users\ÿ\Desktop\python_home_work,False,home_works_2,2836
C:\Users\ÿ\Desktop\python_home_work,False,home_works_3,3390
C:\Users\ÿ\Desktop\python_home_work,False,home_works_4,8945
C:\Users\ÿ\Desktop\python_home_work,False,home_works_5,1834
C:\Users\ÿ\Desktop\python_home_work,False,home_works_6,5429
C:\Users\ÿ\Desktop\python_home_work,False,home_works_7,11253
C:\Users\ÿ\Desktop\python_home_work,False,home_works_8,389615
C:\Users\ÿ\Desktop\python_home_work,False,lessons,11813
C:\Users\ÿ\Desktop\python_home_work,False,lesson_3,8761
C:\Users\ÿ\Desktop\python_home_work,False,less_8_all,0
C:\Users\ÿ\Desktop\python_home_work,False,venv,13402816
C:\Users\ÿ\Desktop\python_home_work\.git,True,COMMIT_EDITMSG,35
C:\Users\ÿ\Desktop\python_home_work\.git,True,config,784
C:\Users\ÿ\Desktop\python_home_work\.git,True,description,73
C:\Users\ÿ\Desktop\python_home_work\.git,True,HEAD,21
C:\Users\ÿ\Desktop\python_home_work\.git,True,index,4343
C:\Users\ÿ\Desktop\python_home_work\.git,False,hooks,25821
C:\Users\ÿ\Desktop\python_home_work\.git,False,info,240
C:\Users\ÿ\Desktop\python_home_work\.git,False,logs,6924
C:\Users\ÿ\Desktop\python_home_work\.git,False,objects,30077
C:\Users\ÿ\Desktop\python_home_work\.git,False,refs,574
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,applypatch-msg.sample,478
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,commit-msg.sample,896
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,fsmonitor-watchman.sample,4726
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,post-update.sample,189
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-applypatch.sample,424
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-commit.sample,1643
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-merge-commit.sample,416
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-push.sample,1374
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-rebase.sample,4898
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,pre-receive.sample,544
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,prepare-commit-msg.sample,1492
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,push-to-checkout.sample,2783
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,sendemail-validate.sample,2308
C:\Users\ÿ\Desktop\python_home_work\.git\hooks,True,update.sample,3650
C:\Users\ÿ\Desktop\python_home_work\.git\info,True,exclude,240
C:\Users\ÿ\Desktop\python_home_work\.git\logs,True,HEAD,2790
C:\Users\ÿ\Desktop\python_home_work\.git\logs,False,refs,4134
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs,False,heads,2734
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs,False,remotes,1400
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_2,596
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_3,389
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_4,389
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_5,389
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_6,389
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,dz_7,389
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\heads,True,master,193
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes,False,github,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes,False,origin,1225
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\github,True,master,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_2,350
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_3,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_4,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_5,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_6,175
C:\Users\ÿ\Desktop\python_home_work\.git\logs\refs\remotes\origin,True,dz_7,175
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,09,193
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,0f,48
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,10,142
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,11,93
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,16,593
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,17,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,1e,168
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,20,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,26,63
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,27,763
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,2b,331
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,2c,973
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,2d,501
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,36,160
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,38,556
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,3c,347
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,43,932
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,52,233
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,54,501
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,5a,723
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,5c,284
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,61,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,62,560
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,69,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,6a,175
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,6c,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,71,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,73,432
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,74,815
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,79,1821
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,7d,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,81,141
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,82,115
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,87,159
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,89,482
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,8c,390
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,8d,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,94,155
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,97,562
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,a2,290
